accessionnr	jaar
AAN83936	2000
AAN83937	2000
AAN83938	2001
AAN83939	2001
AAN83940	2001
AAN83941	2001
AAN83942	2000
AAN83943	2000
AAN83944	2000
AAN83945	2000
AAN83946	2001
AAN83947	2001
AAN83948	2000
AAN83949	2001
AAN83950	2000
AAN83951	2000
AAN83952	2000
AAN83953	2000
AAN83954	2000
AAN83955	2000
AAN83956	2000
AAN83957	2000
AAN83958	2000
AAN83959	2001
AAN83960	2000
AAN83961	2001
AAN83962	2000
AAN83963	2000
AAN83964	2000
AAN83965	2000
AAN83966	2000
AAN83967	2000
AAN83968	2000
AAN83969	2000
AAN83970	2000
AAN83971	2000
AAN83972	2001
AAN83973	2000
AAN83974	2000
AAN83975	2000
AAN83976	2000
AAN83977	2000
AAN83978	2000
AAN83979	2000
AAN83980	2000
AAN83981	2000
AAN83982	2000
AAN83983	2000
AAN83984	2000
AAN83985	2001
AAN83986	2000
AAN83987	2000
AAN83988	2000
AAO15354	1997
AAO15355	1997
AAO15356	1997
AAO15357	1997
AAO33479	2000
AAO33480	2000
AAO33481	2000
AAO33482	2000
AAO33483	2001
AAO33484	2001
AAO33485	2001
AAO33486	2001
AAO33487	2001
AAO33488	2001
AAO46077	1977
AAO46078	1979
AAO46079	1978
AAO46080	1978
AAO46081	1988
AAO46082	1999
AAO46083	1999
AAO46084	1979
AAO46085	1979
AAO46086	1979
AAO46268	1957
AAO46269	1957
AAO46270	1960
AAO46271	1961
AAO46272	1961
AAO46273	1961
AAO46274	1961
AAO46275	1962
AAO46276	1962
AAO46277	1962
AAO46278	1962
AAO46279	1963
AAO46280	1963
AAO46281	1963
AAO46282	1963
AAO46283	1964
AAO46284	1964
AAO46285	1964
AAO46286	1965
AAO46287	1965
AAO46288	1965
AAO46289	1965
AAO46290	1966
AAO46291	1966
AAO46292	1966
AAO46293	1966
AAO46294	1967
AAO46295	1967
AAO46296	1967
AAO46297	1967
AAO46298	1967
AAO46299	1967
AAO46300	1967
AAO46301	1967
AAO46302	1967
AAO46303	1967
AAO46304	1968
AAO46305	1968
AAO46797	2001
AAO46798	2001
AAO46799	2001
AAO46800	2001
AAO46801	2001
AAO46802	2001
AAO46803	2001
AAO46804	2001
AAO46805	2001
AAO47744	2001
AAO47745	2001
AAO47746	2000
AAO47747	1999
AAO47748	1999
AAO47749	2001
AAO47750	2000
AAO47751	2000
AAO47752	2000
AAO52859	2001
AAO52860	2001
AAO52861	2001
AAO52862	2001
AAO52863	2001
AAO52864	2001
AAO52865	2001
AAO52866	2001
AAO52867	2001
AAO52868	2001
AAO52869	2001
AAO52870	2001
AAO52871	2001
AAO52872	2001
AAO52873	2001
AAO52874	2001
AAO52875	2001
AAO52876	2001
AAO52877	2001
AAO52878	2001
AAO52879	2001
AAO52880	2001
AAO52881	2001
AAO52882	2001
AAO65768	1918
AAO65769	1919
AAO86904	2001
AAO86905	2000
AAO86906	2000
AAO86907	2000
AAO86908	2000
AAO86909	2000
AAO86910	2001
AAO86911	2001
AAO86912	2002
AAO86913	2002
AAO86914	1999
AAO86915	2002
AAO86916	1998
AAO86917	2001
AAO86918	2001
AAO86919	1999
AAO86920	1998
AAO86921	1999
AAO86922	1999
AAO86923	1999
AAO86924	2000
AAO86925	1998
AAO86926	2001
AAO86927	2002
AAO86928	1997
AAO86929	1997
AAO86930	1997
AAO86931	1998
AAO86932	1998
AAO86933	2002
AAO86934	1999
AAO86935	2002
AAO86936	1998
AAO86937	2002
AAO86938	1998
AAO86939	2002
AAO86940	2002
AAO86941	2002
AAO86942	1999
AAO86943	1999
AAO86944	1998
AAO86945	1999
AAO86946	1999
AAO86947	1999
AAO86948	1999
AAO86949	1998
AAO86950	1999
AAO86951	1998
AAO86952	2000
AAO88265	1998
AAP21996	1992
AAP21997	1993
AAP23238	1998
AAP23303	2002
AAP34322	1991
AAP34323	1995
AAP34324	1999
AAP34325	1995
AAP41031	1998
AAP41032	2002
AAP41033	2000
AAP41034	1999
AAP41035	1998
AAP47821	2003
AAP49029	2000
AAP49030	2000
AAP49031	2000
AAP49032	2000
AAP49033	2001
AAP49034	2000
AAP49035	2000
AAP49036	2001
AAP49037	2000
AAP49038	2001
AAP49039	2000
AAP49040	2000
AAP49041	1978
AAP49042	1979
AAP49043	1976
AAP49044	1979
AAP49045	1978
AAP49046	2000
AAP49047	2000
AAP60036	1996
AAP60037	1996
AAP69673	2002
AAP69674	2002
AAP69675	2002
AAP69676	2002
AAP69677	2002
AAP69678	2002
AAP69679	2002
AAP69680	2002
AAP69681	2002
AAP69682	2002
AAP69683	2002
AAP69684	2002
AAP69685	2002
AAP69686	2002
AAP69687	2002
AAP69688	2002
AAP69689	2002
AAP69690	2002
AAP69691	2002
AAP69692	2002
AAP71989	1998
AAP71990	1998
AAP71991	1998
AAP71992	1998
AAP71993	1998
AAP71994	2000
AAP71995	2000
AAP71996	2000
AAP71997	2000
AAP71998	2000
AAP71999	2000
AAP72000	2001
AAP72001	2001
AAP72002	2001
AAP72003	2001
AAP72004	2002
AAP72005	2002
AAP72006	2002
AAP72007	2002
AAP72008	2002
AAP72009	2000
AAP72010	2002
AAP72011	2002
AAP79943	2000
AAP79947	2000
AAP79953	2000
AAP79961	1996
AAP79964	2001
AAP79966	1996
