accessionnr	uit
AAC57169	Swine
AAC58990	Avian
AAC58991	Avian
AAC58992	Avian
AAC58993	Avian
AAC58994	Avian
AAC58995	Avian
AAC58996	Avian
AAC58997	Avian
AAC58998	Avian
AAC58999	Avian
AAC59602	Human
AAC59603	Human
AAC59604	Human
AAC63474	Human
AAC63475	Human
AAC63476	Human
AAC63477	Human
AAC63478	Human
AAC78089	Swine
AAC80152	Human
AAC80153	Human
AAC80154	Human
AAC83790	Human
AAC83791	Human
AAC83792	Human
AAC83793	Human
AAC83794	Human
AAC83795	Human
AAC83796	Human
AAC83797	Human
AAC83798	Human
AAC83799	Human
AAC83800	Human
AAD00123	Human
AAD00124	Human
AAD00125	Human
AAD00126	Human
AAD00127	Human
AAD00128	Human
AAD13572	Avian
AAD13573	Avian
AAD13574	Avian
AAD13575	Avian
AAM46887	Human
AAM46888	Human
AAM46889	Human
AAM46890	Human
AAM46891	Human
AAM49555	Avian
AAM69944	Avian
AAM69945	Avian
AAM69946	Avian
AAM69947	Avian
AAM69948	Avian
AAM69949	Avian
AAM69950	Avian
AAM69951	Avian
AAM69962	Avian
AAM69973	Avian
AAM69983	Avian
AAM69993	Avian
AAM70005	Avian
AAM70007	Avian
AAM75158	Human
AAM76686	Human
AAM76687	Human
AAM76688	Human
AAM76689	Human
AAM76690	Human
AAM76691	Human
AAM82560	Human
AAM82561	Human
AAM82562	Human
AAM88280	Human
AAM88283	Human
AAN01150	Human
AAN01151	Human
AAN01152	Human
AAN01153	Human
AAN01154	Human
AAN01155	Human
AAN01156	Human
AAN01157	Human
AAN01158	Human
AAN01159	Human
AAN01160	Human
AAN01161	Human
AAN01162	Human
AAN01163	Human
AAN01164	Human
AAN01165	Human
AAN01166	Human
AAN01167	Human
AAN05676	Avian
AAN05677	Avian
AAN05678	Avian
AAN05679	Avian
AAN05680	Avian
AAN05681	Avian
AAN05682	Avian
AAN05683	Avian
AAN05684	Avian
AAN05685	Avian
AAN17779	Human
